# BEAST v10.5.0
# Generated Tue Aug 18 21:36:14 EEST 2026 [seed=1787078157934]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	age(SAMN36729068_SRR25438644)	treeLikelihood	branchRates	coalescent
61000	-5603541.411891752	-63.3918482318465	-5603478.02004352	150.48220643858733	1872.0177935614126	475.46511783682206	38.52914857438187	5.691059748291895	0.1595327542919797	0.3505523618546209	0.3348534697232854	0.15506141413011393	0.3243022403827603	3.857030781016625E-7	3.857030781016624E-7	0.0	-5603478.02004352	0.0	-61.465780066006225
62000	-5603535.053062391	-58.69703887859116	-5603476.356023512	110.13527363152289	1912.364726368477	344.5335312856036	47.561733284409726	5.374217216376762	0.15973074109719154	0.35035437504940903	0.3348534697232854	0.15506141413011393	0.2736482226361236	5.222213052266251E-7	5.222213052266252E-7	0.0	-5603476.356023512	0.0	-56.423606464426875
63000	-5603546.581776128	-63.60504865274775	-5603482.976727475	144.44600586642068	1878.0539941335794	483.56774159470007	63.02155647959365	6.8417828101946	0.15972266441301128	0.35035437504940903	0.3348534697232854	0.1550694908142942	0.10143575852691783	3.440687009471947E-7	3.4406870094719473E-7	0.0	-5603482.976727475	0.0	-61.39214259268036
64000	-5603543.86332776	-64.81291944488176	-5603479.050408315	152.60130564608127	1869.8986943539187	517.2464446830649	67.8489754421323	6.629024243742317	0.15972266441301128	0.35001623905544943	0.335191605717245	0.1550694908142942	0.13765162541556905	3.1890527769076845E-7	3.189052776907685E-7	0.0	-5603479.050408315	0.0	-62.570593263473114
65000	-5603539.639860457	-62.77637995789701	-5603476.863480499	138.6049853358308	1883.8950146641691	460.6079542791638	57.977785568791894	5.268540103646197	0.15972266441301128	0.35001623905544943	0.335191605717245	0.1550694908142942	0.11122077731020921	3.849063598736409E-7	3.8490635987364095E-7	0.0	-5603476.863480499	0.0	-60.94567606041261
66000	-5603535.466308696	-60.655543813501254	-5603474.810764883	124.21873072899912	1898.2812692710008	394.5343504589481	54.15007388602525	6.60178931908829	0.15972266441301128	0.34978765268372514	0.335191605717245	0.15529807718601846	0.14743943998415998	4.368827359069876E-7	4.368827359069876E-7	0.0	-5603474.810764883	0.0	-58.3463012518934
67000	-5603542.047142002	-68.54688807371676	-5603473.500253928	216.35077559732156	1806.1492244026786	711.5508590326414	67.5903390821194	5.556629668171959	0.15972266441301128	0.3498627173901168	0.3351165410108533	0.15529807718601846	0.2253715656936482	2.3143768741614648E-7	2.3143768741614643E-7	0.0	-5603473.500253928	0.0	-66.7201323686363
68000	-5603539.095673221	-64.82081397848575	-5603474.274859243	170.84149174253704	1851.658508257463	550.2426334234283	78.2136080681089	5.718465979792816	0.15972266441301128	0.3498627173901168	0.3348474523771365	0.1555671658197353	0.1479808860786298	3.0067073074276833E-7	3.006707307427684E-7	0.0	-5603474.274859243	0.0	-62.69087708101891
69000	-5603546.023055434	-71.1753755461537	-5603474.847679888	214.07916893633922	1808.420831063661	707.2997749855274	176.2960100406734	5.815883667522949	0.15972266441301128	0.3498627173901168	0.3348474523771365	0.1555671658197353	0.1629434654283141	2.5063036847553936E-7	2.506303684755393E-7	0.0	-5603474.847679888	0.0	-68.2970534674971
70000	-5603537.014071568	-61.9100339523323	-5603475.1040376155	147.18499245890573	1875.3150075410942	464.03390810464356	54.339612136297774	5.723380353948788	0.15972266441301128	0.3498627173901168	0.3348474523771365	0.1555671658197353	0.12425764994086963	3.742470125492346E-7	3.742470125492346E-7	0.0	-5603475.1040376155	0.0	-60.01931617575642
71000	-5603534.108090879	-59.32316799114721	-5603474.7849228885	114.87407555359593	1907.625924446404	366.01571197862927	38.995438297981316	5.8767271506986996	0.15972266441301128	0.3498627173901168	0.3348474523771365	0.1555671658197353	0.16165771619041416	4.449014704030905E-7	4.449014704030904E-7	0.0	-5603474.7849228885	0.0	-57.46010954128105
72000	-5603538.403061737	-61.245134926884056	-5603477.15792681	135.19283957766447	1887.3071604223355	428.8462291033547	57.390853956271805	4.880079342403503	0.15972266441301128	0.3498627173901168	0.3348474523771365	0.1555671658197353	0.22376515506743108	3.906659593584385E-7	3.9066595935843835E-7	0.0	-5603477.15792681	0.0	-59.264105887891915
73000	-5603536.841774837	-61.81168336282232	-5603475.030091474	143.13927258669247	1879.3607274133076	444.06593833681467	46.32900203180883	6.211795069120024	0.15972266441301128	0.3498627173901168	0.3347754044176893	0.15563921377918244	0.4082660524939718	3.6272359172220285E-7	3.6272359172220285E-7	0.0	-5603475.030091474	0.0	-59.39088453520083
74000	-5603540.055469273	-62.35848512583466	-5603477.696984147	122.19793682749275	1900.3020631725071	379.2797342967018	23.122504748501736	6.059774177926722	0.15972266441301128	0.3498627173901168	0.3347754044176893	0.15563921377918244	0.4192759933522297	4.264503971587674E-7	4.2645039715876724E-7	0.0	-5603477.696984147	0.0	-60.5110484340765
75000	-5603533.425583745	-59.12591478994499	-5603474.299668956	119.1166544478824	1903.3833455521176	366.8952767766316	44.95301976449852	6.061684154830268	0.15977547595811264	0.3498627173901168	0.3347754044176893	0.15558640223408107	0.2840037775303631	4.5983656851001136E-7	4.5983656851001147E-7	0.0	-5603474.299668956	0.0	-56.808275112394995
